,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
3042,100.71,,,
3041,100.7,,,
3040,100.68,,,
3039,100.64,,,
3038,100.62,,,
3037,100.62,,,
3036,100.63,,,
3035,100.65,,,
3034,100.68,,,
3033,100.73,,,
3032,100.75,,,
3031,100.74,,,
3030,100.72,,,
3029,100.71,,,
3028,100.71,,,
3027,100.72,,,
3026,100.73,,,
3025,100.75,,,
3024,100.76,,,
3023,100.77,,,
3022,100.77,,,
3021,100.76,,,
3020,100.76,,,
3019,100.76,,,
3018,100.78,,,
3017,100.81,,,
3016,100.83,,,
3015,100.83,,,
3014,100.82,,,
3013,100.82,,,
3012,100.83,,,
3011,100.83,,,
3010,100.83,,,
3009,100.81,,,
3008,100.8,,,
3007,100.82,,,
3006,100.88,,,
3005,100.97,,,
3004,101.04,,,
3003,101.07,,,
3002,101.08,,,
3001,101.08,,,
3000,101.07,,,
2999,101.06,,,
2998,101.05,,,
2997,101.05,,,
2996,101.07,,,
2995,101.09,,,
2994,101.1,,,
2993,101.11,,,
2992,101.11,,,
2991,101.11,,,
2990,101.12,,,
2989,101.13,,,
2988,101.14,,,
2987,101.15,,,
2986,101.16,,,
2985,101.18,,,
2984,101.2,,,
2983,101.2,,,
2982,101.21,,,
2981,101.21,,,
2980,101.22,,,
2979,101.22,,,
2978,101.24,,,
2977,101.27,,,
2976,101.31,,,
2975,101.34,,,
2974,101.37,,,
2973,101.41,,,
2972,101.43,,,
2971,101.43,,,
2970,101.42,,,
2969,101.42,,,
2968,101.41,,,
2967,101.39,,,
2966,101.36,,,
2965,101.37,,,
2964,101.42,,,
2963,101.48,,,
2962,101.52,,,
2961,101.55,,,
2960,101.57,,,
2959,101.6,,,
2958,101.61,,,
2957,101.6,,,
2956,101.58,,,
2955,101.57,,,
2954,101.59,,,
2953,101.63,,,
2952,101.65,,,
2951,101.65,,,
2950,101.67,,,
2949,101.72,,,
2948,101.78,,,
2947,101.77,,,
2946,101.71,,,
2945,101.64,,,
2944,101.62,,,
2943,101.67,,,
